task_id,pass@1,pass@5,pass@10,pass@20
338,0.0,0.0,0.0,0.0
68,0.020000000000000018,0.09797979797979794,0.19090909090909092,0.3616161616161616
23,0.16000000000000003,0.5899451064399518,0.8404981785815038,0.9799695298690763
390,0.0,0.0,0.0,0.0
151,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
136,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
357,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
507,0.88,0.9999894803282138,0.9999999999961873,1.0
467,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0
227,1.0,1.0,1.0,1.0
27,0.43999999999999995,0.9492636229749631,0.9979430147352593,0.9999985342575805
26,0.0,0.0,0.0,0.0
58,0.77,0.9995530600556374,0.9999999339084028,1.0
122,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
269,1.0,1.0,1.0,1.0
319,0.13,0.5092167068326863,0.768880443455181,0.9556804157911019
24,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
377,0.99,1.0,1.0,1.0
343,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
240,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
312,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0
425,0.51,0.974671977507029,0.9995252642619313,0.9999999472417823
456,0.12,0.4796514482081492,0.73924973107764,0.9426452439649553
14,0.0,0.0,0.0,0.0
399,0.24,0.7546095289099708,0.9448579049997927,0.9979663292325268
423,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
368,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
494,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
475,0.71,0.9984226469406882,0.9999988428855041,0.9999999999999813
90,0.040000000000000036,0.18812488444299935,0.34836945087313276,0.5966617574864997
121,0.0,0.0,0.0,0.0
401,0.18999999999999995,0.6596833578792342,0.8914870694803682,0.9912414517911212
183,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
444,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
320,0.36,0.8987280760476637,0.9912495374391099,0.9999633948983009
146,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0
33,0.040000000000000036,0.18812488444299935,0.34836945087313276,0.5966617574864997
384,0.0,0.0,0.0,0.0
246,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
285,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
204,0.75,0.9992943053510064,0.9999998111668651,0.9999999999999999
51,0.5700000000000001,0.987214374972107,0.9998892374057307,0.9999999982078419
293,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
161,0.87,0.9999829055333473,0.9999999999834781,1.0
435,1.0,1.0,1.0,1.0
332,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
327,0.08999999999999997,0.3823085419734904,0.6287242566803458,0.8780904113915247
196,0.95,0.9999999867175862,1.0,1.0
306,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
46,0.77,0.9995530600556374,0.9999999339084028,1.0
34,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
127,0.99,1.0,1.0,1.0
406,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0
455,0.29000000000000004,0.8270641800925306,0.973325834876729,0.9995795228464048
489,0.0,0.0,0.0,0.0
62,0.99,1.0,1.0,1.0
458,1.0,1.0,1.0,1.0
465,0.89,0.9999938635247914,0.9999999999993645,1.0
243,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0
197,0.06000000000000005,0.2709147810951935,0.47769525064502194,0.7479135984290624
94,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
200,0.36,0.8987280760476637,0.9912495374391099,0.9999633948983009
192,0.06000000000000005,0.2709147810951935,0.47769525064502194,0.7479135984290624
118,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
